date,channel,campaign,spend,impressions,clicks,installs
2023-01-01,google_ads,new_user_promo,18.117616209307062,876,30,5
2023-01-01,google_ads,summer_sale,18.378202134255993,567,19,3
2023-01-01,google_ads,holiday_special,16.856118832669313,615,21,4
2023-01-01,google_ads,brand_awareness,19.986038558273037,588,20,2
2023-01-01,google_ads,retargeting,16.44994832016707,776,27,6
2023-01-01,facebook,new_user_promo,11.757430241738062,1114,31,4
2023-01-01,facebook,summer_sale,12.627076773163605,1239,34,5
2023-01-01,facebook,holiday_special,10.20215609690174,719,20,3
2023-01-01,facebook,brand_awareness,11.080071221505506,642,17,1
2023-01-01,facebook,retargeting,11.209285386343714,1521,42,8
2023-01-01,instagram,new_user_promo,11.308585087155508,1314,32,3
2023-01-01,instagram,summer_sale,9.929616859418228,1167,29,3
2023-01-01,instagram,holiday_special,9.326088271701192,764,19,2
2023-01-01,instagram,brand_awareness,8.72778715651499,639,15,1
2023-01-01,instagram,retargeting,9.270602935970496,1237,30,4
2023-01-01,twitter,new_user_promo,5.56172978563959,913,18,1
2023-01-01,twitter,summer_sale,5.909820820429059,1234,24,2
2023-01-01,twitter,holiday_special,6.404574523326819,1239,24,2
2023-01-01,twitter,brand_awareness,6.041409689098705,1187,23,1
2023-01-01,twitter,retargeting,5.131813187501203,1206,24,3
2023-01-01,affiliate,new_user_promo,4.236545719231066,253,10,2
2023-01-01,affiliate,summer_sale,3.8995798557153245,205,8,1
2023-01-01,affiliate,holiday_special,3.3618981736632616,172,6,1
2023-01-01,affiliate,brand_awareness,3.7634740191281937,142,5,1
2023-01-01,affiliate,retargeting,4.080769955336598,437,17,4
2023-01-02,google_ads,new_user_promo,21.77957440118902,1108,38,6
2023-01-02,google_ads,summer_sale,19.667863177436747,688,24,4
2023-01-02,google_ads,holiday_special,23.270875704991457,721,25,5
2023-01-02,google_ads,brand_awareness,19.32548632087279,657,22,2
2023-01-02,google_ads,retargeting,21.794720115563685,947,33,7
2023-01-02,facebook,new_user_promo,14.34644977858929,1290,36,5
2023-01-02,facebook,summer_sale,13.40141305286763,1151,32,4
2023-01-02,facebook,holiday_special,16.292847129635096,902,25,4
2023-01-02,facebook,brand_awareness,14.959984748303608,803,22,2
2023-01-02,facebook,retargeting,15.613424147332053,1751,49,9
2023-01-02,instagram,new_user_promo,12.490449497051241,1068,26,3
2023-01-02,instagram,summer_sale,12.011606966552389,874,21,2
2023-01-02,instagram,holiday_special,8.896745627946611,662,16,2
2023-01-02,instagram,brand_awareness,12.159727972670675,974,24,1
2023-01-02,instagram,retargeting,12.165410251166087,2690,67,10
2023-01-02,twitter,new_user_promo,7.073990744139444,1445,28,2
2023-01-02,twitter,summer_sale,8.301819254278795,1591,31,3
2023-01-02,twitter,holiday_special,6.6481032570854754,1157,23,2
2023-01-02,twitter,brand_awareness,7.894975778283144,1141,22,1
2023-01-02,twitter,retargeting,6.849707688234251,1519,30,3
2023-01-02,affiliate,new_user_promo,4.868727804617138,256,10,2
2023-01-02,affiliate,summer_sale,4.483393576650921,237,9,2
2023-01-02,affiliate,holiday_special,4.632846479585591,266,10,2
2023-01-02,affiliate,brand_awareness,4.964704571954426,205,8,1
2023-01-02,affiliate,retargeting,4.824383474983763,351,14,4
2023-01-03,google_ads,new_user_promo,18.11003980444159,928,32,5
